Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;1;serve;Serve;Flat;70,548172;1;0;0;short;ad;near;-0,443365;9,939396;deep;deuce;near;1,166592;-0,104373;2,639351;down the T;Net;false;07:20:04;49,759998
Rasmus Kopperud Riis;1;serve;Serve;Flat;101,0177;2;0;0;short;deuce;near;0,121303;9,918592;deep;deuce;near;0,733194;1,211146;2,441508;down the T;Net;false;07:20:11;56,389999
Rikard Rykkvin;2;return;Backhand;Flat;47,389343;2;0;0;short;ad;far;0,658337;12,072946;deep;deuce;far;-0,369386;22,362526;1,331521;inside in;Net;false;07:20:12;57,830002
Rasmus Kopperud Riis;1;serve;Serve;Flat;108,20816;3;0;0;deep;deuce;far;-3,449435;23,253508;deep;deuce;near;1,373347;0,493777;2,52919;out wide;Out;false;07:20:20;64,93
Rikard Rykkvin;2;return;Forehand;Flat;48,763477;3;0;0;deep;deuce;far;-1,008026;20,041061;out;deuce;far;-3,191981;25,128441;1,089929;cross court;Net;false;07:20:21;65,959999
Rasmus Kopperud Riis;1;serve;Serve;Slice;109,375046;4;0;0;short;deuce;far;-2,374561;17,015396;deep;deuce;near;0,516062;0,626966;2,477169;out wide;In;false;07:20:30;75,629997
Rikard Rykkvin;2;return;Forehand;Topspin;66,564484;4;0;0;deep;deuce;near;0,38711;0,524337;out;deuce;far;-3,075037;25,196407;1,011223;cross court;In;false;07:20:31;76,669998
Rasmus Kopperud Riis;3;serve_plus_one;Forehand;Topspin;62,905056;4;0;0;deep;ad;far;2,920947;21,028252;deep;deuce;near;0,321659;0,65453;0,644375;down the line;In;false;07:20:33;78,129997
Rikard Rykkvin;4;return_plus_one;Backhand;Flat;77,030678;4;0;0;deep;ad;near;-2,933662;0,217079;out;ad;far;2,417274;24,889248;2,322356;cross court;In;false;07:20:35;80,370003
Rikard Rykkvin;1;serve;Serve;Slice;74,754128;5;0;0;short;deuce;near;1,959034;11,559028;deep;ad;near;-0,509658;0,646834;2,445238;out wide;Net;false;07:20:56;100,940002
Rasmus Kopperud Riis;1;serve;Serve;Flat;110,241531;6;0;0;short;deuce;far;-2,435889;16,647009;deep;deuce;near;1,576842;0,361529;2,700879;out wide;In;false;07:21:12;117,25
Rikard Rykkvin;2;return;Forehand;Topspin;74,492493;6;0;0;deep;ad;near;-0,730819;1,859942;out;deuce_alley;far;-4,121846;25,087671;0,999886;down the line;In;false;07:21:13;118,32
Rasmus Kopperud Riis;3;serve_plus_one;Backhand;Topspin;63,547817;6;0;0;deep;ad;far;0,623765;22,748167;deep;ad;near;-0,507952;0,045237;0,969351;cross court;In;false;07:21:14;119,690002
Rikard Rykkvin;4;return_plus_one;Forehand;Topspin;79,37899;6;0;0;short;ad;near;-1,752015;6,288371;deep;ad;far;0,623765;23,394258;3,566657;inside out;In;false;07:21:16;121,339996
Rasmus Kopperud Riis;5;in_play;Backhand;Topspin;43,555767;6;0;0;short;ad;far;1,211837;12,846251;deep;ad;near;-1,822603;0,754814;0,88514;cross court;In;false;07:21:17;122,620003
Rasmus Kopperud Riis;1;serve;Serve;Slice;108,189697;7;0;0;deep;deuce;far;-0,716359;20,255936;deep;ad;near;-1,364148;-0,078397;2,631853;down the T;Out;false;07:21:35;140,789993
